"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERPIND1",-0.467865613332872,-0.627964821760631,-3.44534080656646,0.000643808297786922,0.00213100880319829,-1.43114319656138
"TOR1A",0.264362531627692,0.143144307214887,3.44450167298544,0.000645739994995946,0.00213629526841923,-1.43392797238903
"PAICS",0.42949294902567,0.191616683089333,3.44377230502406,0.000647423407710104,0.00214075528649871,-1.43634796378816
"UBE2I",0.246003784959995,0.333449500899888,3.44172916606747,0.000652160915342198,0.00215530406027947,-1.44312441578029
"GIMAP7",0.485206524518473,-0.673704475218931,3.44102043815936,0.000653811822346759,0.00215964225850184,-1.44547417009813
"UMPS",0.265264553981845,0.229398923898917,3.44000503412006,0.000656183903637315,0.00216635688972299,-1.44883991006733
"EPB41L5",0.413718184359225,-0.515887295201022,3.43950084695392,0.000657364717912535,0.00216913370742715,-1.45051078598551
"P3H3",0.472941341047836,0.337915301399987,3.43717724347281,0.000662832331233265,0.00218604567919649,-1.45820826060528
"BLOC1S6",-0.250264847563068,0.217852418025293,-3.43509414043294,0.000667770110115901,0.00220119367738257,-1.46510490607443
"SRRT",0.178508752385791,0.301191395199899,3.43429943950946,0.000669662902858945,0.00220629392918182,-1.46773494126642
"RBMS1",-0.314936456314931,-0.148015844088104,-3.4319277168154,0.000675341628625311,0.0022238557497538,-1.47558070757729
"AZU1",0.822827147974248,-0.710184467725612,3.43163401920702,0.000676047963304861,0.00222493584932407,-1.47655192150828
"AGR2",-1.02406840650103,-0.354802852358774,-3.43150163895585,0.000676366559677059,0.00222493584932407,-1.47698965784149
"WDR18",0.224922609950983,0.215548415734456,3.43095704668684,0.000677678692234837,0.00222810424815625,-1.4787902733467
"CPVL",-0.453317163302572,-0.285160730357094,-3.42960581663019,0.000680944598917656,0.0022376897910907,-1.48325677091291
"ISCA1",0.343258095437952,-0.0623141152233689,3.42880053892343,0.000682897928653389,0.00224295435928595,-1.48591784134341
"MYL6B",-0.314218718352701,0.00262606148022168,-3.42850346305741,0.000683619853811091,0.0022441710882179,-1.48689939279725
"CWC22",0.236762050615253,0.151298698642673,3.42769679303721,0.000685583741878524,0.00224946155801355,-1.48956426586153
"LSM4",0.291539153110816,0.142183999840413,3.42468695980376,0.000692957959208641,0.00227248924989583,-1.49950224059422
"CDK2",0.326383897993133,-0.0822235477664627,3.42388199137605,0.000694942679460577,0.00227782803303685,-1.50215873624225
"DHX37",0.256203835930907,0.143437490461439,3.42369359975102,0.000695407941262347,0.00227818353256033,-1.50278036799596
"FNDC3B",0.370941358248891,0.174400896812315,3.42252463285363,0.000698301389635184,0.0022861749067844,-1.50663687065799
"TECPR1",-0.251192310245908,-0.121733233880664,-3.42241900696225,0.000698563389684631,0.0022861749067844,-1.50698527736472
"RUNX1",-0.240341247725551,0.0862752428999235,-3.42172070265871,0.000700297810756269,0.00229067700905675,-1.50928838021693
"ANTXR1",0.527487645107178,0.101298309878378,3.41990490374091,0.000704826657059696,0.0023043103969924,-1.51527508393887
"BLOC1S4",-0.249442904064043,0.157029901488515,-3.4191908534146,0.000706615072228405,0.00230897504410356,-1.51762850286084
"MAOB",-0.691046169456016,-0.931088335559742,-3.4175703533144,0.000710689513856118,0.00232110104653264,-1.52296776665325
"MIEF1",0.28762850021138,-0.0515928643796083,3.41730151592438,0.000711367571727546,0.00232212778398793,-1.52385331072975
"ATP8A1",-0.575067426532691,-0.523745602438941,-3.41535558632209,0.000716293600719309,0.00233690434588891,-1.53026122256685
"MAP2K3",0.274182360471489,0.0350042509020125,3.41522462411909,0.000716626266131634,0.00233690434588891,-1.53069235667892
"HMGA1",0.490286317533871,0.243770095238452,3.4149994854565,0.000717198492186632,0.00233757650465117,-1.53143348840398
"TCOF1",0.320374561614484,0.227452351923458,3.41377696017146,0.000720313188424971,0.00234653046331298,-1.53545711262289
"RABGAP1",-0.235737286875384,-0.0902009849760556,-3.41289497214902,0.000722568112769932,0.0023526758796716,-1.53835911353151
"UNC93B1",0.539392876628391,-0.368284895876012,3.41236392627108,0.000723928980483014,0.00235590547420186,-1.54010607426088
"OGFR",0.307194022514028,0.0901669621221218,3.41030962604183,0.000729215921603654,0.00237190201703481,-1.54686163989704
"RPL32",0.289465487939637,0.22328131981619,3.40982036265775,0.000730480389752392,0.00237447550788778,-1.54847002349749
"SARAF",0.464501580245095,-0.305889464106624,3.40971580364474,0.000730750880657712,0.00237447550788778,-1.54881371845623
"CCDC92",-0.261929905583668,-0.110107470165864,-3.40910592107027,0.000732330491234272,0.00237839785683155,-1.55081826209647
"JAGN1",0.621949896258672,-0.569342080542367,3.40770331260666,0.00073597537826059,0.00238902022887334,-1.55542704545004
"TRAPPC13",-0.211211063801792,0.0438307478737738,-3.40717514363505,0.000737352285647883,0.00239227354871023,-1.55716207982473
"PGK2",0.808443706951633,-0.549982197831524,3.40549566607933,0.000741746579909849,0.00240530823398902,-1.56267749588057
"EEF1E1",0.313199772643978,0.179797671913297,3.4035110321133,0.000746970797292183,0.00242101956381248,-1.56919178089283
"MICAL1",0.270397106394559,-0.0876804051320493,3.4020833026569,0.000750750263767094,0.00243203472052405,-1.57387591540342
"PLA2G2A",-1.05380928249585,-1.04487216897259,-3.40153614039407,0.000752203426971613,0.00243550653205565,-1.57567057504199
"TCEA3",-0.599248068398225,-0.237786968039494,-3.40097271305624,0.000753702528928685,0.00243912349072968,-1.57751830198585
"DNTTIP2",0.229544831163085,0.144286965230506,3.39955966970813,0.000757474458431064,0.00245008835718457,-1.58215103984192
"IQGAP2",-0.473587823691474,-0.27043224638879,-3.39746097754861,0.000763109142810681,0.00246706424144111,-1.58902840168508
"RPS18",0.250191196911151,0.252618634434961,3.39624174417035,0.00076640053584868,0.00247645112418716,-1.5930219808735
