"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CFDP1",0.393334294770602,0.0136178247033374,3.12233896390393,0.00195250237373401,0.00652708254256108,-2.47609348350835
"NDUFB9",0.26395529494558,-0.0586426845982991,3.12149341158157,0.00195795524645448,0.00654188605369538,-2.478652908775
"PRNP",0.464171525494528,-0.698879982473585,3.12106116868502,0.00196074815407811,0.0065477912990527,-2.47996102416381
"CSRP3",0.714712344213055,-1.20109453895296,3.12060989675148,0.00196366793623351,0.0065541138383957,-2.48132654577037
"NDUFV3",0.284955634837312,-0.0916784973575952,3.12022565061325,0.00196615721354371,0.00655899363034306,-2.48248910467131
"DNAJC16",0.268345191423189,-0.142506663044104,3.1175921071774,0.00198329667587946,0.00661271502636571,-2.49045341078923
"PDK2",-0.397542793986313,-0.166275177887223,-3.11711303883778,0.00198642928871881,0.00661970303156035,-2.49190151762685
"COL11A1",0.826669094902504,-0.313718307222754,3.11670961163408,0.00198907082436811,0.00662504810307271,-2.49312081703152
"COL6A1",-0.410241874689745,-0.50625928698744,-3.1162414848084,0.0019921400554926,0.00663181139432754,-2.49453547505798
"ARMCX1",-0.348142426727629,-0.196375613334955,-3.11275422390581,0.00201514174775078,0.0067046916086733,-2.50506751455354
"PPM1A",0.239574252788073,-0.0832558716310847,3.11247036857402,0.0020170247687049,0.0067046916086733,-2.50592430997514
"ATP2C1",0.310001380637342,-0.105493128672259,3.11244654782189,0.002017182863001,0.0067046916086733,-2.50599620772735
"C6orf89",0.355656575931139,-0.156566752615929,3.11209589507266,0.00201951140795653,0.00670893878241542,-2.50705451665088
"SLC25A46",0.300563943330779,-0.141059415227596,3.11089818959016,0.0020274835901668,0.00673192029288354,-2.51066847694772
"MORC2",0.292822933672591,-0.000205295713791232,3.11025412868453,0.00203178258049056,0.00674268803348867,-2.51261132603423
"GSTO1",-0.334681620442073,-0.0239277970976326,-3.10982202940275,0.00203467147284204,0.00674876745667346,-2.51391456732271
"SLC25A12",0.270587653870237,-0.190178509115405,3.10890357380534,0.0020408245850984,0.00676542245411312,-2.51668412571127
"TPM2",0.619645180585187,-1.35684461765221,3.10875643606981,0.00204181191371589,0.00676542245411312,-2.51712774073974
"RPS6KA3",0.29123752956988,-0.186894119066817,3.107525722792,0.00205008754543083,0.0067893200091161,-2.52083752202118
"RPS27A",-0.264188406109374,0.0774338986722882,-3.10531485946585,0.00206503164682468,0.00683526545618227,-2.52749832381189
"PI4KB",0.215553543656006,0.0301185044688472,3.10456151398721,0.00207014669501876,0.00684864593144809,-2.52976695210893
"TBC1D22A",0.194691792984048,-0.0420319243197829,3.10298107297087,0.0020809154979371,0.00687839657909538,-2.53452461305794
"TCF20",0.247115277409622,0.0479072228635233,3.10292566079617,0.00208129400012722,0.00687839657909538,-2.5346913809487
"IDO1",-0.725792745734213,-0.773581819307749,-3.10199266536374,0.00208767651610101,0.00689592061836781,-2.53749889225534
"NOP14",0.29822536191359,0.104402297980055,3.09404783034786,0.00214276134189742,0.00707421466805327,-2.56137372382173
"TNIP2",-0.252183047036026,-0.0727201314388579,-3.0933981096806,0.00214732482626571,0.00708561706238066,-2.56332362863518
"FILIP1",0.486127573487893,-1.12024016200616,3.09125182315545,0.00216246353598183,0.00713188516386568,-2.56976219562294
"TLN1",-0.223649242125819,-0.388981988794695,-3.09083325159534,0.00216542733570758,0.00713704650207985,-2.57101736188739
